timestamp,timecode,pupil-area,blink,pupil-x,pupil-y,trigger1,trigger2,trigger3,trigger4
2023-03-29T16:58:36.620Z,4025.289433106576,560,3.192024823715084e-13,297.36636439732143,356.56466238839283,0,0,0,0
2023-03-29T16:58:36.667Z,4025.3678004535145,565,7.248977459961559e-12,297.5270602876106,357.7718335176991,0,0,0,0
2023-03-29T16:58:36.710Z,4025.420045351474,556,4.630748909328908e-13,297.5405238309353,357.84734712230215,0,0,0,0
2023-03-29T16:58:36.772Z,4025.4635827664397,557,1.157232729781521e-12,296.91490406193896,356.8903444793537,0,0,0,0
2023-03-29T16:58:36.817Z,4025.5216326530613,576,1.3442563034926636e-12,297.84393988715277,357.25160047743054,0,0,0,0
2023-03-29T16:58:36.851Z,4025.541950113379,552,2.2283119793797823e-11,297.8804772418478,357.48250679347825,0,0,0,0
2023-03-29T16:58:36.908Z,4025.585487528345,563,1.9747700382485162e-13,296.74962533303733,357.3256272202487,0,0,0,0
2023-03-29T16:58:36.961Z,4025.6609523809525,567,1.6716964997606082e-13,297.68929122574957,357.5113536155203,0,0,0,0
2023-03-29T16:58:37.017Z,4025.7248072562356,562,1.825759595591725e-12,297.51575011120997,357.75343360765123,0,0,0,0
2023-03-29T16:58:37.052Z,4025.748027210884,562,1.825759595591725e-12,297.51575011120997,357.75343360765123,0,0,0,0
2023-03-29T16:58:37.128Z,4025.8321995464853,552,2.4554687710204304e-12,297.409618432971,357.5655995244565,0,0,0,0
2023-03-29T16:58:37.185Z,4025.8757369614514,540,7.258135607292326e-13,297.20941840277777,357.3956886574074,0,0,0,0
2023-03-29T16:58:37.227Z,4025.9308843537415,535,5.188205008839486e-13,296.76149240654206,356.96003212616824,0,0,0,0
2023-03-29T16:58:37.262Z,4025.962811791383,535,4.243440668294518e-11,296.8429322429906,356.80683411214955,0,0,0,0
2023-03-29T16:58:37.299Z,4025.997641723356,535,4.243440668294518e-11,296.8429322429906,356.80683411214955,0,0,0,0
2023-03-29T16:58:37.365Z,4026.049886621315,539,7.395692565304035e-12,297.19271799628945,357.4181499304267,0,0,0,0
2023-03-29T16:58:37.419Z,4026.11664399093,533,6.998102726647748e-13,296.44922607879926,357.68569711538464,0,0,0,0
2023-03-29T16:58:37.455Z,4026.1485714285714,548,5.728967647500305e-13,296.57488880018246,358.15784671532845,0,0,0,0
2023-03-29T16:58:37.523Z,4026.212426303855,454,2.917409247515934e-8,298.5258982654185,360.26889454845815,0,0,0,0
2023-03-29T16:58:37.575Z,4026.264671201814,441,0.000005886432973056799,298.4270124716553,360.4434346655329,0,0,0,0
2023-03-29T16:58:37.617Z,4026.316916099773,0,0.5288468599319458,-1,-1,0,0,0,0
2023-03-29T16:58:37.674Z,4026.3720634920637,0,0.5288468599319458,-1,-1,0,0,0,0
2023-03-29T16:58:37.711Z,4026.4156009070293,430,0.00017943956481758505,294.2763263081395,381.66328125,0,0,0,0
2023-03-29T16:58:37.743Z,4026.4504308390024,612,0.000005943172254774254,294.5953839869281,379.44334660947715,0,0,0,0
2023-03-29T16:58:37.805Z,4026.5026757369615,592,7.291733368219866e-7,294.5897117820946,379.5135926942568,0,0,0,0
2023-03-29T16:58:37.845Z,4026.5462131519275,626,1.0422864704651147e-7,294.95247603833866,379.3084689496805,0,0,0,0
2023-03-29T16:58:37.895Z,4026.6013605442176,626,1.0422864704651147e-7,294.95247603833866,379.3084689496805,0,0,0,0
2023-03-29T16:58:37.927Z,4026.633287981859,640,2.245467367600895e-9,295.1714111328125,378.89019775390625,0,0,0,0
